2026-02-06 14:03:12;Printeri hooldus;Vahetasin toonerit ja puhastasin printeri;DONE
2026-02-06 14:05:00;WiFi probleem;Ühendasin ruuteri uuesti ja testisin võrku;DONE
2026-02-06 14:06:30; ;Puudub pealkiri;OPEN
2026-02-06 14:07:10;PC;Liiga lühike kirjeldus;OPEN
2026-02-06 14:08:00;Monitori vahetus;Asendasin katkise monitori uuega;CLOSED
2026-02-06 14:09:00;Tarkvara paigaldus;Paigaldasin Office paketi klassiarvutisse;DONE
vale_kuupäev;Serveri hooldus;Uuendasin serveri tarkvara;OPEN
2026-02-06 14:10:00;Kaabli vahetus; ;OPEN
2026-02-06 14:11:00;Arvuti puhastus;Eemaldasin tolmu ja kontrollisin jahutust;DONE
2026-01-32 15:00:25;Hiireke;Hiire välja vahetamine;OPEN
